DATE,LEI_YOY,clean_text,cluster
1/31/11,5.9,,1
2/28/11,6.7,,1
3/31/11,6.0,,1
4/30/11,5.4,,4
5/31/11,5.9,,1
6/30/11,5.7,,1
7/31/11,6.2,,1
8/31/11,5.0,,4
9/30/11,3.9,,3
10/31/11,4.5,,3
11/30/11,3.7,,3
12/31/11,3.1,,0
1/31/12,3.2,,0
2/29/12,3.1,,0
3/31/12,2.6,,0
4/30/12,2.3,,0
5/31/12,1.9,,2
6/30/12,1.5,,2
7/31/12,1.2,,2
8/31/12,1.5,,2
9/30/12,2.6,,0
10/31/12,2.0,,2
11/30/12,1.9,,2
12/31/12,1.7,,2
1/31/13,2.0,,2
2/28/13,1.8,,2
3/31/13,1.1,,2
4/30/13,1.8,,2
5/31/13,2.1,,2
6/30/13,2.6,,0
7/31/13,2.5,,0
8/31/13,3.7,,3
9/30/13,4.0,,3
10/31/13,3.8,,3
11/30/13,4.9,,4
12/31/13,4.6,,3
1/31/14,4.3,,3
2/28/14,4.4,,3
3/31/14,5.5,,4
4/30/14,5.2,,4
5/31/14,5.4,,4
6/30/14,6.0,,1
7/31/14,6.5,,1
8/31/14,6.0,,1
9/30/14,5.7,,1
10/31/14,6.2,,1
11/30/14,5.4,,4
12/31/14,6.0,,1
1/31/15,5.9,,1
2/28/15,5.3,,4
3/31/15,4.8,,4
4/30/15,5.2,,4
5/31/15,5.1,,4
6/30/15,4.9,,4
7/31/15,4.1,,3
8/31/15,3.8,,3
9/30/15,3.0,,0
10/31/15,3.1,,0
11/30/15,3.1,,0
12/31/15,2.4,,0
1/31/16,2.0,,2
2/29/16,1.8,,2
3/31/16,1.3,,2
4/30/16,1.3,,2
5/31/16,0.7,,2
6/30/16,0.5,,2
7/31/16,1.1,,2
8/31/16,1.1,,2
9/30/16,1.4,,2
10/31/16,1.1,,2
11/30/16,0.9,,2
12/31/16,1.6,,2
1/31/17,2.5,,0
2/28/17,2.9,,0
3/31/17,3.4,,0
4/30/17,3.1,,0
5/31/17,3.7,,3
6/30/17,4.0,,3
7/31/17,3.9,,3
8/31/17,4.3,,3
9/30/17,4.1,,3
10/31/17,5.4,,4
11/30/17,5.6,,4
12/31/17,5.7,,1
1/31/18,5.9,,1
2/28/18,6.4,,1
3/31/18,6.2,,1
4/30/18,6.4,,1
